agency,state,state_control,now_part_of,last_ruler
Gujarat States Agency and Baroda Residency,Tharad,PrincelyState,Gujarat,
Gujarat States Agency and Baroda Residency,Vanod,PrincelyState,Gujarat,
Gujarat States Agency and Baroda Residency,MansaState,PrincelyState,Gujarat,
Gujarat States Agency and Baroda Residency,Vijaynagar,PrincelyState,Gujarat,
Gujarat States Agency and Baroda Residency,Wadhwan,PrincelyState,Gujarat,
Gujarat States Agency and Baroda Residency,Wankaner,PrincelyState,Gujarat,
Gujarat States Agency and Baroda Residency,KotdaNayani,PrincelyState,Gujarat,
Kathiawar Agency,DhrolState,Princely State,"Gujarat, India",Thakor Saheb Shri Shri Chandrasinhji Jadeja
Kathiawar Agency,NawanagarState,Princely State,"Gujarat, India",Jam saheb shri Shatrushaylsinhji Digvijaysinhji Jadeja
Kathiawar Agency,MakajiMeghpar,Jagir,"Gujarat, India",Hardhrol Bhayats
Kathiawar Agency,RajkotState,Princely state,"Gujarat, India",Thakor saheb Shri Pradhyumansinhji Jadeja
Kathiawar Agency,GondalState,Princely state,"Gujarat, India",Thakor Saheb Shri Bhagvatsinhji Jadeja
Kathiawar Agency,MorviState,Princely state,"Gujarat, India",Thakor Saheb Shri Lakhdhirsinhji Jadeja
Kathiawar Agency,PorbandarState,Princely state,"Gujarat, India",Maharana Shri Natwarsinhji Jethwa
Kathiawar Agency,BhavnagarState,Princely state,"Gujarat, India",Maharaja Raol Shri Krishnakumarsinhji Gohil
Kathiawar Agency,WadhwanState,Princely state,"Gujarat, India",Maharaja Shri Suredrasinhji Jhala
Kathiawar Agency,JunagadhState,Princely state,"Gujarat, India",Nawab sahib Mahabatkhanji 3rd.
Kathiawar Agency,JafarabadState,Princely state,"Gujarat, India",Mohammad Khan 2nd.
States of Central India Agency,Ajaigarh,Princely state,,
States of Central India Agency,Alipura,Princely state,,
States of Central India Agency,Alirajpur,Princely state,,
States of Central India Agency,Baraundha,Princely state,,
States of Central India Agency,Barwani,Princely state,,
States of Central India Agency,Basoda,Princely state,,
States of Central India Agency,Bhaisunda,Princely state,,
States of Central India Agency,Bhopal,Princely state,,
States of Central India Agency,Bijawar,Princely state,,
States of Central India Agency,Charkhari,Princely state,,
States of Central India Agency,Chhatarpur,Princely state,,
States of Central India Agency,Chirgaon,Princely state,,
States of Central India Agency,Datia,Princely state,,
States of Central India Agency,DewasJunior,Princely state,,
States of Central India Agency,DewasSenior,Princely state,,
States of Central India Agency,Dhar,Princely state,,
States of Central India Agency,Dhurwai,Princely state,,
States of Central India Agency,Gaurihar,Princely state,,
States of Central India Agency,Gwalior,Princely state,,
States of Central India Agency,Indore,Princely state,,
States of Central India Agency,Jamnia,Princely state,,
States of Central India Agency,Jaora,Princely state,,
States of Central India Agency,Jaso,Princely state,,
States of Central India Agency,Jobat,Princely state,,
States of Central India Agency,Kamta-Rajaula,Princely state,,
States of Central India Agency,Khaniadhana,Princely state,,
States of Central India Agency,Khilchipur,Princely state,,
States of Central India Agency,Kothi,Princely state,,
States of Central India Agency,Kurwai,Princely state,,
States of Central India Agency,Maihar,Princely state,,
States of Central India Agency,Makrai,Princely state,,
States of Central India Agency,Muhammadgarh,Princely state,,
States of Central India Agency,Nagod,Princely state,,
States of Central India Agency,Narsighgarh,Princely state,,
States of Central India Agency,Orchha,Princely state,,
States of Central India Agency,Pahra,Princely state,,
States of Central India Agency,Paldeo,Princely state,,
States of Central India Agency,Panna,Princely state,,
States of Central India Agency,Pathari,Princely state,,
States of Central India Agency,Piploda,Princely state,,
States of Central India Agency,Rajgarh,Princely state,,
States of Central India Agency,Ratlam,Princely state,,
States of Central India Agency,Rewa,Princely state,,
States of Central India Agency,Sailana,Princely state,,
States of Central India Agency,Sitamau,Princely state,,
States of Central India Agency,Sohawal,Princely state,,
States of Central India Agency,Taraon,Princely state,,
States of Central India Agency,ToriFatehpur,Princely state,,
Orissa States Agency,Athgarh,Princely state,,
